name,business_name,email
ABC Traders,ABC Traders,customer1@example.invalid
Customer 2,Customer 2,customer2@example.invalid
Customer 3,Customer 3,customer3@example.invalid
Customer 4,Customer 4,customer4@example.invalid
Customer 5,Customer 5,customer5@example.invalid
Customer 6,Customer 6,customer6@example.invalid
Customer 7,Customer 7,customer7@example.invalid
Customer 8,Customer 8,customer8@example.invalid
Customer 9,Customer 9,customer9@example.invalid
Customer 10,Customer 10,customer10@example.invalid
Customer 11,Customer 11,customer11@example.invalid
Customer 12,Customer 12,customer12@example.invalid
Customer 13,Customer 13,customer13@example.invalid
Customer 14,Customer 14,customer14@example.invalid
Customer 15,Customer 15,customer15@example.invalid
Customer 16,Customer 16,customer16@example.invalid
Customer 17,Customer 17,customer17@example.invalid
Customer 18,Customer 18,customer18@example.invalid
Customer 19,Customer 19,customer19@example.invalid
Customer 20,Customer 20,customer20@example.invalid
Customer 21,Customer 21,customer21@example.invalid
Customer 22,Customer 22,customer22@example.invalid
Customer 23,Customer 23,customer23@example.invalid
Customer 24,Customer 24,customer24@example.invalid
Customer 25,Customer 25,customer25@example.invalid
Customer 26,Customer 26,customer26@example.invalid
Customer 27,Customer 27,customer27@example.invalid
Customer 28,Customer 28,customer28@example.invalid
Customer 29,Customer 29,customer29@example.invalid
Customer 30,Customer 30,customer30@example.invalid
Customer 31,Customer 31,customer31@example.invalid
Customer 32,Customer 32,customer32@example.invalid
Customer 33,Customer 33,customer33@example.invalid
Customer 34,Customer 34,customer34@example.invalid
Customer 35,Customer 35,customer35@example.invalid
Customer 36,Customer 36,customer36@example.invalid
Customer 37,Customer 37,customer37@example.invalid
Customer 38,Customer 38,customer38@example.invalid
Customer 39,Customer 39,customer39@example.invalid
Customer 40,Customer 40,customer40@example.invalid
Customer 41,Customer 41,customer41@example.invalid
Customer 42,Customer 42,customer42@example.invalid
Customer 43,Customer 43,customer43@example.invalid
Customer 44,Customer 44,customer44@example.invalid
Customer 45,Customer 45,customer45@example.invalid
Customer 46,Customer 46,customer46@example.invalid
Customer 47,Customer 47,customer47@example.invalid
Customer 48,Customer 48,customer48@example.invalid
Customer 49,Customer 49,customer49@example.invalid
Customer 50,Customer 50,customer50@example.invalid
Customer 51,Customer 51,customer51@example.invalid
Customer 52,Customer 52,customer52@example.invalid
Customer 53,Customer 53,customer53@example.invalid
Customer 54,Customer 54,customer54@example.invalid
Customer 55,Customer 55,customer55@example.invalid
Customer 56,Customer 56,customer56@example.invalid
Customer 57,Customer 57,customer57@example.invalid
Customer 58,Customer 58,customer58@example.invalid
Customer 59,Customer 59,customer59@example.invalid
Customer 60,Customer 60,customer60@example.invalid
Customer 61,Customer 61,customer61@example.invalid
Customer 62,Customer 62,customer62@example.invalid
Customer 63,Customer 63,customer63@example.invalid
Customer 64,Customer 64,customer64@example.invalid
Customer 65,Customer 65,customer65@example.invalid
Customer 66,Customer 66,customer66@example.invalid
Customer 67,Customer 67,customer67@example.invalid
Customer 68,Customer 68,customer68@example.invalid
Customer 69,Customer 69,customer69@example.invalid
Customer 70,Customer 70,customer70@example.invalid
Customer 71,Customer 71,customer71@example.invalid
Customer 72,Customer 72,customer72@example.invalid
Customer 73,Customer 73,customer73@example.invalid
Customer 74,Customer 74,customer74@example.invalid
Customer 75,Customer 75,customer75@example.invalid
Customer 76,Customer 76,customer76@example.invalid
Customer 77,Customer 77,customer77@example.invalid
Customer 78,Customer 78,customer78@example.invalid
Customer 79,Customer 79,customer79@example.invalid
Customer 80,Customer 80,customer80@example.invalid
Customer 81,Customer 81,customer81@example.invalid
Customer 82,Customer 82,customer82@example.invalid
Customer 83,Customer 83,customer83@example.invalid
Customer 84,Customer 84,customer84@example.invalid
Customer 85,Customer 85,customer85@example.invalid
Customer 86,Customer 86,customer86@example.invalid
Customer 87,Customer 87,customer87@example.invalid
Customer 88,Customer 88,customer88@example.invalid
Customer 89,Customer 89,customer89@example.invalid
Customer 90,Customer 90,customer90@example.invalid
Customer 91,Customer 91,customer91@example.invalid
Customer 92,Customer 92,customer92@example.invalid
Customer 93,Customer 93,customer93@example.invalid
Customer 94,Customer 94,customer94@example.invalid
Customer 95,Customer 95,customer95@example.invalid
Customer 96,Customer 96,customer96@example.invalid
Customer 97,Customer 97,customer97@example.invalid
Customer 98,Customer 98,customer98@example.invalid
Customer 99,Customer 99,customer99@example.invalid
Customer 100,Customer 100,customer100@example.invalid
Customer 101,Customer 101,customer101@example.invalid
Customer 102,Customer 102,customer102@example.invalid
Customer 103,Customer 103,customer103@example.invalid
Customer 104,Customer 104,customer104@example.invalid
Customer 105,Customer 105,customer105@example.invalid
Customer 106,Customer 106,customer106@example.invalid
Customer 107,Customer 107,customer107@example.invalid
Customer 108,Customer 108,customer108@example.invalid
Customer 109,Customer 109,customer109@example.invalid
Customer 110,Customer 110,customer110@example.invalid
Customer 111,Customer 111,customer111@example.invalid
Customer 112,Customer 112,customer112@example.invalid
Customer 113,Customer 113,customer113@example.invalid
Customer 114,Customer 114,customer114@example.invalid
Customer 115,Customer 115,customer115@example.invalid
Customer 116,Customer 116,customer116@example.invalid
Customer 117,Customer 117,customer117@example.invalid
Customer 118,Customer 118,customer118@example.invalid
Customer 119,Customer 119,customer119@example.invalid
Customer 120,Customer 120,customer120@example.invalid
Customer 121,Customer 121,customer121@example.invalid
Customer 122,Customer 122,customer122@example.invalid
Customer 123,Customer 123,customer123@example.invalid
Customer 124,Customer 124,customer124@example.invalid
Customer 125,Customer 125,customer125@example.invalid
Customer 126,Customer 126,customer126@example.invalid
Customer 127,Customer 127,customer127@example.invalid
Customer 128,Customer 128,customer128@example.invalid
Customer 129,Customer 129,customer129@example.invalid
Customer 130,Customer 130,customer130@example.invalid
Customer 131,Customer 131,customer131@example.invalid
Customer 132,Customer 132,customer132@example.invalid
Customer 133,Customer 133,customer133@example.invalid
Customer 134,Customer 134,customer134@example.invalid
Customer 135,Customer 135,customer135@example.invalid
Customer 136,Customer 136,customer136@example.invalid
Customer 137,Customer 137,customer137@example.invalid
